KONPLAN SAMMENLIG;Finanskonto;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;Navn;Søgenavn;Kontotype;Global dimension 1-kode;Global dimension 2-kode;Kontokategori;Resultatopgørelse/balance;Debet/kredit;Nr. 2;Spærret;Direkte bogføring;Afstembar;Sideskift;Antal tomme linjer;Indrykning;Valutakode;Bogføring af kildevaluta;Værdiregulering af kildevaluta;Urealiseret værdiregulering;Dato/klokkeslæt for seneste ændring;Rettet den;Sammentælling;Konsol. oversættelsesmetode;Kons.debetkonto;Kons.kreditkonto;Bogføringstype;Virksomhedsbogføringsgruppe;Produktbogføringsgruppe;Billede;Automatisk udv. tekster;Skatteområdekode;Skattepligtig;Skattegruppekode;Momsvirksomhedsbogf.gruppe;Momsproduktbogf.gruppe;Valutakursregulering;IC-stand.partners finanskt.nr.;Udelad standardbeskrivelse i kladde;Løbenr. for kontounderkategori;Udeluk fra konsolidering;Omkostningstypenr.;Standardskabelonkode for periodisering;Automatisk redovisningsmall;Standardbæredygtighedskonti;API-kontotype;Gennemse politik
1225;Maskiner och inventarier total;MASKINER OCH INVENTARIER TOTAL;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.597Z;2026-01-19;1200..1225;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Sluttotal;Ingen
1235;Fordon, Från-Summa;FORDON, FRÅN-SUMMA;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.607Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Starttotal;Ingen
1240;Fordon för transport;FORDON FÖR TRANSPORT;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.62Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1241;Fordon;FORDON;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.633Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1245;Ökningar under året;ÖKNINGAR UNDER ÅRET;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.647Z;2026-01-19;;Gennemsnitskurs (manuel);;;Køb;INRIKES;DIV;;false;;false;;INRIKES;VAT25;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1246;Minskningar under året – fordon;MINSKNINGAR UNDER ÅRET – FORDON;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.66Z;2026-01-19;;Gennemsnitskurs (manuel);;;Salg;INRIKES;DIV;;false;;false;;INRIKES;VAT25;Ingen regulering;;false;8;false;;;;;Bogføring;Ingen
1249;Ack. avskrivning på bilar;ACK. AVSKRIVNING PÅ BILAR;Bogføring;;;Aktiver;Balance;Begge;;false;true;false;false;0;4;;;false;false;2026-01-19T15:19:44.67Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;9;false;;;;;Bogføring;Ingen
1250;Bilar och transp.medel totalt;BILAR OCH TRANSP.MEDEL TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;3;;;false;false;2026-01-19T15:19:44.68Z;2026-01-19;1235..1250;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Sluttotal;Ingen
1260;Materiella anl.tillg. totalt;MATERIELLA ANL.TILLG. TOTALT;Sluttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:44.69Z;2026-01-19;1005..1260;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;8;false;;;;;Sluttotal;Ingen
1300;Värdepapper;VÄRDEPAPPER;Starttotal;;;Aktiver;Balance;Begge;;false;false;false;false;0;2;;;false;false;2026-01-19T15:19:44.703Z;2026-01-19;;Gennemsnitskurs (manuel);;;;;;;false;;false;;;;Ingen regulering;;false;1;false;;;;;Starttotal;Ingen
